"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"PUR",1305,694,611,67.75383,-62.13511,5.61872
"PUR",1247,531,716,51.33578,-72.92884,-21.59306
"PUR",1291,689,602,69.05254,-60.86766,8.18488
"PUR",1258,663,595,63.90022,-60.8428,3.05742
"PUR",1257,494,763,47.03551,-78.14243,-31.10692
"PUR",1321,681,640,66.5295,-64.78371,1.74579
"PUR",1227,659,568,61.90029,-60.07877,1.82152
"PUR",1285,471,814,43.83024,-83.17358,-39.34334
"PUR",1234,572,662,54.53362,-68.26523,-13.73161
"PUR",1350,874,476,83.3614,-50.99643,32.36497
"CLM",1321,416,905,38.49297,-92.23582,-53.74285
"CLM",1260,472,788,42.94984,-82.13734,-39.1875
"CLM",1294,657,637,67.14923,-63.16058,3.98865
"CLM",1245,434,811,44.5256,-80.903,-36.3774
"CLM",1309,533,776,50.97405,-78.87839,-27.90434
"CLM",1316,629,687,62.81941,-69.08254,-6.26313
"CLM",1233,494,739,46.88581,-75.83778,-28.95197
"CLM",1313,655,658,66.22753,-66.2075,0.0200299999999999
"CLM",1346,543,803,50.80431,-82.54367,-31.73936
"CLM",1330,608,722,59.363,-72.71992,-13.35692
"CLM",1287,799,488,82.20145,-47.90624,34.29521
"CLM",1247,476,771,47.7414,-77.41961,-29.67821
"CLM",1290,802,488,76.09217,-51.45556,24.63661
"CLM",1329,648,681,66.86969,-67.54418,-0.67449
"CLM",1274,437,837,42.54569,-84.55927,-42.01358
"CLM",1317,794,523,75.46661,-55.36071,20.1059
"PUR",1309,691,618,68.91342,-62.41325,6.50017
"PUR",1240,517,723,48.05301,-74.87549,-26.82248
"PUR",1303,753,550,75.11978,-55.68415,19.43563
"PUR",1257,414,843,38.86014,-86.28256,-47.42242
"PUR",1277,515,762,48.27776,-77.92851,-29.65075
"PUR",1353,798,555,77.25115,-58.07913,19.17202
"PUR",1372,649,723,61.24625,-74.5772,-13.33095
"PUR",1336,821,515,81.83603,-52.74995,29.08608
"PUR",1194,443,751,45.23039,-75.1375,-29.90711
"PUR",1312,827,485,81.72081,-50.52603,31.19478
"GBR",1313,783,530,73.64435,-56.49797,17.14638
"CLM",1252,548,704,51.57607,-72.37838,-20.80231
"CLM",1246,397,849,38.381,-85.7375,-47.3565
"CLM",1303,592,711,58.12116,-71.47555,-13.35439
"CLM",1300,791,509,80.61013,-50.24639,30.36374
"CLM",1306,763,543,75.06244,-55.05468,20.00776
"CLM",1208,524,684,53.66698,-67.82792,-14.16094
"CLM",1318,702,616,67.66646,-63.57488,4.09158
"CLM",1319,820,499,82.95517,-49.97717,32.978
"CLM",1270,454,816,41.13726,-84.98746,-43.8502
"CLM",1336,807,529,76.31739,-55.78488,20.53251
"CLM",1321,605,716,57.82171,-73.26979,-15.44808
"CLM",1296,392,904,37.27461,-91.5049,-54.23029
"CLM",1264,369,895,35.02864,-90.16864,-55.14
"CLM",1278,734,544,73.31905,-55.24964,18.06941
"CLM",1287,779,508,79.01724,-51.1554,27.86184
"CLM",1312,617,695,58.89003,-71.24955,-12.35952
"CLM",1294,838,456,84.48385,-45.36471,39.11914
"CLM",1239,590,649,57.04099,-66.38783,-9.34684
"CLM",1285,775,510,75.8677,-51.81107,24.05663
"CLM",1237,426,811,39.10691,-83.4357,-44.32879
"CLM",1305,825,480,82.35796,-48.61736,33.7406
"CLM",1309,632,677,61.23317,-69.13183,-7.89866
"CLM",1332,717,615,68.68715,-63.12885,5.5583
"CLM",1326,478,848,43.83904,-88.04632,-44.20728
"CLM",1323,877,446,88.59821,-44.5972,44.00101
"CLM",1253,507,746,46.83327,-77.52094,-30.68767
"CLM",1242,765,477,76.72597,-48.83816,27.88781
"PUR",1197,514,683,49.81567,-69.54344,-19.72777
"PUR",1261,734,527,73.69525,-53.29342,20.40183
"PUR",1334,835,499,82.7521,-51.31639,31.43571
"PUR",1352,585,767,55.98743,-78.1935,-22.20607
"PUR",1294,818,476,78.39793,-50.30553,28.0924
"PUR",1254,596,658,56.38231,-67.82035,-11.43804
"PUR",1255,791,464,76.09426,-48.40893,27.68533
"PUR",1302,665,637,62.62958,-65.88935,-3.25977
"PUR",1296,542,754,51.41762,-77.33368,-25.91606
"PUR",1263,665,598,66.9984,-59.54485,7.45355
"PUR",1328,752,576,73.13532,-59.00319,14.13213
"CLM",1336,707,629,69.85655,-63.74775,6.1088
"CLM",1325,683,642,65.65559,-66.44892,-0.79333
"CLM",1229,507,722,49.72854,-72.7792,-23.05066
"CLM",1291,694,597,67.51792,-60.45427,7.06365
"CLM",1338,402,936,37.30522,-95.16953,-57.86431
"CLM",1324,565,759,53.21522,-78.44777,-25.23255
"CLM",1265,646,619,64.17379,-62.2049,1.96889
