"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"CHS",8542,4085,4457,211.432131344,-222.41818952,-10.986058176
"CHS",8745,4279,4466,229.092113744,-217.44554462,11.646569124
"CHS",8500,3817,4683,199.67430357,-232.864161,-33.18985743
"CHS",8620,4144,4476,217.688340057,-220.63818133,-2.949841273
"CHS",8707,4906,3801,257.312982427,-189.17345928,68.139523147
"CHS",8709,4150,4559,203.726739407,-240.10978228,-36.383042873
"CHS",8668,4063,4605,212.395816157,-229.25682163,-16.861005473
"CHS",8572,4298,4274,230.847793627,-210.86370407,19.984089557
"CHS",8614,4230,4384,221.445741244,-214.69795322,6.747788024
"CHS",8599,4808,3791,263.913288427,-177.15764462,86.755643807
"CHS",8709,4493,4216,239.462206127,-206.07040177,33.391804357
"CHS",8743,4411,4332,233.399030287,-214.69313039,18.705899897
"CHS",8502,4557,3945,223.165566144,-210.78350552,12.382060624
"CHS",8632,4630,4002,243.489684157,-200.35124033,43.138443827
"CHS",8592,4329,4263,241.067722427,-205.29250697,35.775215457
"CHS",8658,4354,4304,228.168364127,-215.49877087,12.669593257
"CHS",8745,4390,4355,227.298473757,-221.89348973,5.404984027
"CHS",8685,3970,4715,188.046057957,-254.66639193,-66.620333973
"PUR",8886,4531,4355,249.141598274,-209.56059068,39.581007594
"PUR",8870,4764,4106,249.036358514,-206.76998746,42.266371054
"PUR",8608,4421,4187,212.970725587,-223.62170794,-10.650982353
"PUR",8736,4356,4380,220.205573154,-227.08645172,-6.880878566
"PUR",8765,4988,3777,260.705151157,-186.63195648,74.073194677
"PUR",8822,4325,4497,215.810710524,-236.71314298,-20.902432456
"PUR",8627,4425,4202,232.62915337,-209.95890794,22.67024543
"PUR",8619,4566,4053,229.342282614,-212.70735776,16.634924854
"PUR",8708,3817,4891,191.11052824,-256.22446643,-65.11393819
"CDX",8643,4524,4119,231.470428177,-211.07623877,20.394189407
"CDX",8642,4620,4022,249.123872227,-195.78457647,53.339295757
"CDX",8654,4246,4408,225.559414027,-217.62515262,7.934261407
"CDX",8625,4491,4134,232.197756244,-209.68107272,22.516683524
"CDX",8701,4377,4324,221.790541227,-222.04391602,-0.253374793
"CDX",8637,4571,4066,248.740877414,-196.84159126,51.899286154
